Student Id,Country Code,Enrolled Year,Age,Gender,Experienced,Course Code,Engagement Month,Engagement Year,Engagement Type
1,US,8,2015,40,F,false,JMC,NOVEMBER,2020,Lecture 2
1,US,8,2015,40,F,false,PYC,DECEMBER,2019,Lecture 14
2,AU,4,2018,30,M,true,JMC,JUNE,2020,Lecture 2
2,AU,4,2018,30,M,true,PYC,MAY,2019,Lecture 9
3,CN,2,2019,86,U,false,JMC,OCTOBER,2019,Lecture 8
3,CN,2,2019,86,U,false,PYC,SEPTEMBER,2023,Lecture 11
4,AU,8,2022,59,U,true,JMC,FEBRUARY,2022,Lecture 12
4,AU,8,2022,59,U,true,PYC,APRIL,2023,Lecture 4
5,AU,12,2021,36,F,false,JMC,FEBRUARY,2024,Lecture 10
5,AU,12,2021,36,F,false,PYC,JUNE,2023,Lecture 1
